date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:41:54	2334/2334	---M--	200	added ('OK')	image/png	etag:%2291e-5cd080f882aac%22	https://templates.iqonic.design/foodsto/html/theme/dist/assets/images/about-us/04.png	C:/Users/DELL/source/foodsto/templates.iqonic.design/foodsto/html/theme/dist/assets/images/about-us/04.png	(from https://templates.iqonic.design/foodsto/html/theme/dist/home-2.html)
18:41:55	2202/2202	---M--	200	added ('OK')	image/png	etag:%2289a-5cd080f882aac%22	https://templates.iqonic.design/foodsto/html/theme/dist/assets/images/about-us/05.png	C:/Users/DELL/source/foodsto/templates.iqonic.design/foodsto/html/theme/dist/assets/images/about-us/05.png	(from https://templates.iqonic.design/foodsto/html/theme/dist/home-2.html)
18:41:55	2324/2324	---M--	200	added ('OK')	image/png	etag:%22914-5cd080f882aac%22	https://templates.iqonic.design/foodsto/html/theme/dist/assets/images/about-us/06.png	C:/Users/DELL/source/foodsto/templates.iqonic.design/foodsto/html/theme/dist/assets/images/about-us/06.png	(from https://templates.iqonic.design/foodsto/html/theme/dist/home-2.html)
18:41:55	7825/7825	---M--	200	added ('OK')	image/jpeg	etag:%221e91-5cd080f88f5cc%22	https://templates.iqonic.design/foodsto/html/theme/dist/assets/images/product/17.jpg	C:/Users/DELL/source/foodsto/templates.iqonic.design/foodsto/html/theme/dist/assets/images/product/17.jpg	(from https://templates.iqonic.design/foodsto/html/theme/dist/home-2.html)
18:41:56	17191/17191	---M--	200	added ('OK')	image/jpeg	etag:%224327-5cd080f88e62c%22	https://templates.iqonic.design/foodsto/html/theme/dist/assets/images/product/10.jpg	C:/Users/DELL/source/foodsto/templates.iqonic.design/foodsto/html/theme/dist/assets/images/product/10.jpg	(from https://templates.iqonic.design/foodsto/html/theme/dist/home-2.html)
18:41:56	8953/8953	---M--	200	added ('OK')	image/jpeg	etag:%2222f9-5cd080f88f5cc%22	https://templates.iqonic.design/foodsto/html/theme/dist/assets/images/product/18.jpg	C:/Users/DELL/source/foodsto/templates.iqonic.design/foodsto/html/theme/dist/assets/images/product/18.jpg	(from https://templates.iqonic.design/foodsto/html/theme/dist/home-2.html)
18:41:57	2137/2137	---M--	200	added ('OK')	image/png	etag:%22859-5cd080f89e02d%22	https://templates.iqonic.design/foodsto/html/theme/dist/assets/images/testimonial/qu-4.png	C:/Users/DELL/source/foodsto/templates.iqonic.design/foodsto/html/theme/dist/assets/images/testimonial/qu-4.png	(from https://templates.iqonic.design/foodsto/html/theme/dist/home-2.html)
18:41:58	60307/60307	---M--	200	added ('OK')	image/png	etag:%22eb93-5cd080f8849ec%22	https://templates.iqonic.design/foodsto/html/theme/dist/assets/images/banner/shap-12.png	C:/Users/DELL/source/foodsto/templates.iqonic.design/foodsto/html/theme/dist/assets/images/banner/shap-12.png	(from https://templates.iqonic.design/foodsto/html/theme/dist/home-3.html)
18:41:58	8466/8466	---M--	200	added ('OK')	image/png	etag:%222112-5cd080f882aac%22	https://templates.iqonic.design/foodsto/html/theme/dist/assets/images/about-us/sing-4.png	C:/Users/DELL/source/foodsto/templates.iqonic.design/foodsto/html/theme/dist/assets/images/about-us/sing-4.png	(from https://templates.iqonic.design/foodsto/html/theme/dist/home-3.html)
18:42:04	195102/195102	---M--	200	added ('OK')	image/png	etag:%222fa1e-5cd080f882aac%22	https://templates.iqonic.design/foodsto/html/theme/dist/assets/images/about-us/01.png	C:/Users/DELL/source/foodsto/templates.iqonic.design/foodsto/html/theme/dist/assets/images/about-us/01.png	(from https://templates.iqonic.design/foodsto/html/theme/dist/home-3.html)
18:42:11	107736/107736	---M--	200	added ('OK')	image/png	etag:%221a4d8-5cd080f89d08d%22	https://templates.iqonic.design/foodsto/html/theme/dist/assets/images/services/07.png	C:/Users/DELL/source/foodsto/templates.iqonic.design/foodsto/html/theme/dist/assets/images/services/07.png	(from https://templates.iqonic.design/foodsto/html/theme/dist/home-3.html)
18:42:11	734731/734731	---M--	200	added ('OK')	image/png	etag:%22b360b-5cd080f883a4c%22	https://templates.iqonic.design/foodsto/html/theme/dist/assets/images/banner/banner-img-3.png	C:/Users/DELL/source/foodsto/templates.iqonic.design/foodsto/html/theme/dist/assets/images/banner/banner-img-3.png	(from https://templates.iqonic.design/foodsto/html/theme/dist/home-3.html)
18:42:11	174621/174621	---M--	200	added ('OK')	image/png	etag:%222aa1d-5cd080f882aac%22	https://templates.iqonic.design/foodsto/html/theme/dist/assets/images/about-us/02.png	C:/Users/DELL/source/foodsto/templates.iqonic.design/foodsto/html/theme/dist/assets/images/about-us/02.png	(from https://templates.iqonic.design/foodsto/html/theme/dist/home-3.html)
18:42:14	87551/87551	---M--	200	added ('OK')	image/png	etag:%22155ff-5cd080f89d08d%22	https://templates.iqonic.design/foodsto/html/theme/dist/assets/images/services/08.png	C:/Users/DELL/source/foodsto/templates.iqonic.design/foodsto/html/theme/dist/assets/images/services/08.png	(from https://templates.iqonic.design/foodsto/html/theme/dist/home-3.html)
18:42:18	91217/91217	---M--	200	added ('OK')	image/png	etag:%2216451-5cd080f88d68c%22	https://templates.iqonic.design/foodsto/html/theme/dist/assets/images/our-team/01.png	C:/Users/DELL/source/foodsto/templates.iqonic.design/foodsto/html/theme/dist/assets/images/our-team/01.png	(from https://templates.iqonic.design/foodsto/html/theme/dist/our-team.html)
18:42:18	213911/213911	---M--	200	added ('OK')	image/png	etag:%2234397-5cd080f8849ec%22	https://templates.iqonic.design/foodsto/html/theme/dist/assets/images/banner/pages-banner.png	C:/Users/DELL/source/foodsto/templates.iqonic.design/foodsto/html/theme/dist/assets/images/banner/pages-banner.png	(from https://templates.iqonic.design/foodsto/html/theme/dist/about-us.html)
18:42:20	80101/80101	---M--	200	added ('OK')	image/png	etag:%22138e5-5cd080f88d68c%22	https://templates.iqonic.design/foodsto/html/theme/dist/assets/images/our-team/02.png	C:/Users/DELL/source/foodsto/templates.iqonic.design/foodsto/html/theme/dist/assets/images/our-team/02.png	(from https://templates.iqonic.design/foodsto/html/theme/dist/our-team.html)
18:42:20	80334/80334	---M--	200	added ('OK')	image/png	etag:%22139ce-5cd080f88d68c%22	https://templates.iqonic.design/foodsto/html/theme/dist/assets/images/our-team/03.png	C:/Users/DELL/source/foodsto/templates.iqonic.design/foodsto/html/theme/dist/assets/images/our-team/03.png	(from https://templates.iqonic.design/foodsto/html/theme/dist/our-team.html)
18:42:22	88161/88161	---M--	200	added ('OK')	image/png	etag:%2215861-5cd080f88d68c%22	https://templates.iqonic.design/foodsto/html/theme/dist/assets/images/our-team/05.png	C:/Users/DELL/source/foodsto/templates.iqonic.design/foodsto/html/theme/dist/assets/images/our-team/05.png	(from https://templates.iqonic.design/foodsto/html/theme/dist/our-team.html)
18:42:22	115902/115902	---M--	200	added ('OK')	image/png	etag:%221c4be-5cd080f88d68c%22	https://templates.iqonic.design/foodsto/html/theme/dist/assets/images/our-team/06.png	C:/Users/DELL/source/foodsto/templates.iqonic.design/foodsto/html/theme/dist/assets/images/our-team/06.png	(from https://templates.iqonic.design/foodsto/html/theme/dist/our-team.html)
18:42:23	174467/174467	---M--	200	added ('OK')	image/png	etag:%222a983-5cd080f88d68c%22	https://templates.iqonic.design/foodsto/html/theme/dist/assets/images/our-team/04.png	C:/Users/DELL/source/foodsto/templates.iqonic.design/foodsto/html/theme/dist/assets/images/our-team/04.png	(from https://templates.iqonic.design/foodsto/html/theme/dist/our-team.html)
18:42:25	94974/94974	---M--	200	added ('OK')	image/png	etag:%22172fe-5cd080f88e62c%22	https://templates.iqonic.design/foodsto/html/theme/dist/assets/images/our-team/08.png	C:/Users/DELL/source/foodsto/templates.iqonic.design/foodsto/html/theme/dist/assets/images/our-team/08.png	(from https://templates.iqonic.design/foodsto/html/theme/dist/our-team.html)
18:42:26	2175546/2175546	---M--	200	added ('OK')	image/png	etag:%2221323a-5cd080f89efcd%22	https://templates.iqonic.design/foodsto/html/theme/dist/assets/images/video/video-3.png	C:/Users/DELL/source/foodsto/templates.iqonic.design/foodsto/html/theme/dist/assets/images/video/video-3.png	(from https://templates.iqonic.design/foodsto/html/theme/dist/home-3.html)
18:42:26	92623/92623	---M--	200	added ('OK')	image/png	etag:%22169cf-5cd080f88d68c%22	https://templates.iqonic.design/foodsto/html/theme/dist/assets/images/our-team/07.png	C:/Users/DELL/source/foodsto/templates.iqonic.design/foodsto/html/theme/dist/assets/images/our-team/07.png	(from https://templates.iqonic.design/foodsto/html/theme/dist/our-team.html)
18:42:27	84796/84796	---M--	200	added ('OK')	image/png	etag:%2214b3c-5cd080f88e62c%22	https://templates.iqonic.design/foodsto/html/theme/dist/assets/images/our-team/10.png	C:/Users/DELL/source/foodsto/templates.iqonic.design/foodsto/html/theme/dist/assets/images/our-team/10.png	(from https://templates.iqonic.design/foodsto/html/theme/dist/our-team.html)
18:42:29	185491/185491	---M--	200	added ('OK')	image/png	etag:%222d493-5cd080f88e62c%22	https://templates.iqonic.design/foodsto/html/theme/dist/assets/images/our-team/09.png	C:/Users/DELL/source/foodsto/templates.iqonic.design/foodsto/html/theme/dist/assets/images/our-team/09.png	(from https://templates.iqonic.design/foodsto/html/theme/dist/our-team.html)
18:42:29	145492/145492	---M--	200	added ('OK')	image/png	etag:%2223854-5cd080f88e62c%22	https://templates.iqonic.design/foodsto/html/theme/dist/assets/images/our-team/12.png	C:/Users/DELL/source/foodsto/templates.iqonic.design/foodsto/html/theme/dist/assets/images/our-team/12.png	(from https://templates.iqonic.design/foodsto/html/theme/dist/our-team.html)
18:42:30	141453/141453	---M--	200	added ('OK')	image/png	etag:%222288d-5cd080f88e62c%22	https://templates.iqonic.design/foodsto/html/theme/dist/assets/images/our-team/11.png	C:/Users/DELL/source/foodsto/templates.iqonic.design/foodsto/html/theme/dist/assets/images/our-team/11.png	(from https://templates.iqonic.design/foodsto/html/theme/dist/our-team.html)
